"id","description","last_updated"
"2340897","Strawberry milk, fat free","2022-10-03"
"2340898","Strawberry milk, reduced sugar","2022-10-03"
"2340899","Strawberry milk, non-dairy","2022-10-03"
"2340900","Milk, malted","2022-10-03"
"2340901","Eggnog","2022-10-03"
"2340902","Milk shake, home recipe, chocolate","2022-10-03"
"2340903","Milk shake, home recipe, flavors other than chocolate","2022-10-03"
"2340904","Milk shake, home recipe, chocolate, light","2022-10-03"
"2340905","Milk shake, home recipe, flavors other than chocolate, light","2022-10-03"
"2340906","Milk shake with malt","2022-10-03"
"2340907","Milk shake, fast food, chocolate","2022-10-03"
"2340908","Milk shake, fast food, flavors other than chocolate","2022-10-03"
"2340909","Milk shake, bottled, chocolate","2022-10-03"
"2340910","Milk shake, bottled, flavors other than chocolate","2022-10-03"
"2340911","Licuado or Batido","2022-10-03"
"2340912","Fruit smoothie, NFS","2022-10-03"
"2340913","Fruit smoothie, with whole fruit and dairy","2022-10-03"
"2340914","Fruit smoothie, with whole fruit and dairy, added protein","2022-10-03"
"2340915","Fruit smoothie juice drink, with dairy","2022-10-03"
"2340916","Chocolate milk drink","2022-10-03"
"2340917","Infant formula, NFS","2022-10-03"
"2340918","Infant formula, Similac, NFS","2022-10-03"
"2340919","Infant formula, Similac Alimentum, ready-to-feed","2022-10-03"
"2340920","Infant formula, Similac Alimentum, powder, made with water","2022-10-03"
"2340921","Infant formula, Similac Advance, ready-to-feed","2022-10-03"
"2340922","Infant formula, Similac Advance, powder, made with tap water","2022-10-03"
"2340923","Infant formula, Similac Advance, powder, made with bottled water","2022-10-03"
"2340924","Infant formula, Similac Advance, powder, made with baby water","2022-10-03"
"2340925","Infant formula, Similac Sensitive, ready-to-feed","2022-10-03"
"2340926","Infant formula, Similac Sensitive, powder, made with tap water","2022-10-03"
"2340927","Infant formula, Similac Sensitive, powder, made with bottled water","2022-10-03"
"2340928","Infant formula, Similac Sensitive, powder, made with baby water","2022-10-03"
"2340929","Infant formula, Similac for Spit-Up, ready-to-feed","2022-10-03"
"2340930","Infant formula, Similac for Spit-Up, powder, made with water","2022-10-03"
"2340931","Toddler formula, Similac Go and Grow","2022-10-03"
"2340932","Infant formula, Enfamil, NFS","2022-10-03"
"2340933","Infant formula, Enfamil Premium Newborn, ready-to-feed","2022-10-03"
"2340934","Infant formula, Enfamil Premium Newborn, powder, made with water","2022-10-03"
"2340935","Infant formula, Enfamil Infant, ready-to-feed","2022-10-03"
"2340936","Infant formula, Enfamil Infant, powder, made with tap water","2022-10-03"
"2340937","Infant formula, Enfamil Infant, powder, made with bottled water","2022-10-03"
"2340938","Infant formula, Enfamil Infant, powder, made with baby water","2022-10-03"
"2340939","Infant formula, Enfamil AR, ready-to-feed","2022-10-03"
"2340940","Infant formula, Enfamil AR, powder, made with water","2022-10-03"
"2340941","Infant formula, Enfamil Gentlease, ready-to-feed","2022-10-03"
"2340942","Infant formula, Enfamil Gentlease, powder, made with tap water","2022-10-03"
"2340943","Infant formula, Enfamil Gentlease, powder, made with bottled water","2022-10-03"
"2340944","Infant formula, Enfamil Gentlease, powder, made with baby water","2022-10-03"
"2340945","Toddler formula, Enfamil Enfagrow","2022-10-03"
"2340946","Toddler formula, PediaSure","2022-10-03"
"2340947","Toddler formula, Nido Kinder","2022-10-03"
"2340948","Toddler formula, store brand, beginning or next stage","2022-10-03"
"2340949","Toddler formula, store brand, pediatric shake","2022-10-03"
"2340950","Infant formula, Gerber, NFS","2022-10-03"
"2340951","Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed","2022-10-03"
"2340952","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water","2022-10-03"
"2340953","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water","2022-10-03"
"2340954","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water","2022-10-03"
"2340955","Infant formula, Gerber Good Start Gentle, Stage 2","2022-10-03"
"2340956","Toddler formula, Gerber Good Start, Stage 3","2022-10-03"
"2340957","Infant formula, premature, powder, made with water","2022-10-03"
"2340958","Infant formula, premature, ready-to-feed","2022-10-03"
"2340959","Infant formula, organic, powder, made with water","2022-10-03"
"2340960","Infant formula, organic, ready-to-feed","2022-10-03"
"2340961","Infant formula, store brand, advantage or tender, powder, made with tap water","2022-10-03"
"2340962","Infant formula, store brand, advantage or tender, powder, made with bottled water","2022-10-03"
"2340963","Infant formula, store brand, advantage or tender, powder, made with baby water","2022-10-03"
"2340964","Infant formula, store brand, gentle or sensitivity","2022-10-03"
"2340965","Infant formula, store brand, added rice","2022-10-03"
"2340966","Infant formula, Enfamil ProSobee, ready-to-feed","2022-10-03"
"2340967","Infant formula, Enfamil ProSobee, powder, made with tap water","2022-10-03"
"2340968","Infant formula, Enfamil ProSobee, powder, made with bottled water","2022-10-03"
"2340969","Infant formula, Enfamil ProSobee, powder, made with baby water","2022-10-03"
"2340970","Infant formula, Similac Isomil Soy, ready-to-feed","2022-10-03"
"2340971","Infant formula, Similac Isomil Soy, powder, made with tap water","2022-10-03"
"2340972","Infant formula, Similac Isomil Soy, powder, made with bottled water","2022-10-03"
"2340973","Infant formula, Similac Isomil Soy, powder, made with baby water","2022-10-03"
"2340974","Infant formula, Similac for Diarrhea","2022-10-03"
"2340975","Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed","2022-10-03"
"2340976","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water","2022-10-03"
"2340977","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water","2022-10-03"
"2340978","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water","2022-10-03"
"2340979","Infant formula, store brand, soy","2022-10-03"
"2340980","Infant formula, Enfamil Nutramigen, ready-to-feed","2022-10-03"
"2340981","Infant formula, Enfamil Nutramigen, powder, made with water","2022-10-03"
"2340982","Infant formula, Enfamil Pregestimil, ready-to-feed","2022-10-03"
"2340983","Infant formula, Enfamil Pregestimil, powder, made with water","2022-10-03"
"2340984","Infant formula, amino acids","2022-10-03"
"2340985","Infant formula, low iron","2022-10-03"
"2340986","Milk, dry, not reconstituted, NS as to fat content","2022-10-03"
"2340987","Milk, dry, not reconstituted, fat free (skim)","2022-10-03"
"2340988","Whey, sweet, dry","2022-10-03"
"2340989","Cocoa powder, not reconstituted","2022-10-03"
"2340990","Chocolate beverage powder, dry mix, not reconstituted","2022-10-03"
"2340991","Chocolate beverage powder, light, dry mix, not reconstituted","2022-10-03"
"2340992","Milk, malted, dry mix, not reconstituted","2022-10-03"
"2340993","Strawberry beverage powder, dry mix, not reconstituted","2022-10-03"
"2340994","Cream, NS as to light, heavy, or half and half","2022-10-03"
"2340995","Cream, light","2022-10-03"
"2340996","Cream, half and half","2022-10-03"
"2340997","Cream, half and half, flavored","2022-10-03"
"2340998","Cream, half and half, fat free","2022-10-03"
"2340999","Cream, heavy","2022-10-03"
"2341000","Cream, whipped","2022-10-03"
"2341001","Coffee creamer, NFS","2022-10-03"
"2341002","Coffee creamer, liquid","2022-10-03"
"2341003","Coffee creamer, liquid, flavored","2022-10-03"
"2341004","Coffee creamer, liquid, fat free","2022-10-03"
"2341005","Coffee creamer, liquid, fat free, flavored","2022-10-03"
"2341006","Coffee creamer, liquid, fat free, sugar free, flavored","2022-10-03"
"2341007","Coffee creamer, liquid, sugar free, flavored","2022-10-03"
"2341008","Coffee creamer, powder","2022-10-03"
"2341009","Coffee creamer, powder, flavored","2022-10-03"
"2341010","Coffee creamer, powder, fat free","2022-10-03"
"2341011","Coffee creamer,powder, fat free, flavored","2022-10-03"
"2341012","Coffee creamer,powder, sugar free, flavored","2022-10-03"
"2341013","Coffee creamer, soy, liquid","2022-10-03"
"2341014","Whipped topping","2022-10-03"
"2341015","Whipped topping, fat free","2022-10-03"
"2341016","Whipped topping, sugar free","2022-10-03"
"2341017","Sour cream, regular","2022-10-03"
"2341018","Sour cream, light","2022-10-03"
"2341019","Sour cream, fat free","2022-10-03"
"2341020","Sour cream, imitation","2022-10-03"
"2341021","Dip, NFS","2022-10-03"
"2341022","Chipotle dip, regular","2022-10-03"
"2341023","Chipotle dip, light","2022-10-03"
"2341024","Onion dip, regular","2022-10-03"
"2341025","Onion dip, light","2022-10-03"
"2341026","Ranch dip, regular","2022-10-03"
"2341027","Ranch dip, light","2022-10-03"
"2341028","Spinach dip, regular","2022-10-03"
"2341029","Spinach dip, light","2022-10-03"
"2341030","Vegetable dip, regular","2022-10-03"
"2341031","Vegetable dip, light","2022-10-03"
"2341032","Ice cream, NFS","2022-10-03"
"2341033","Ice cream, vanilla","2022-10-03"
"2341034","Ice cream, vanilla, with additional ingredients","2022-10-03"
"2341035","Ice cream, chocolate","2022-10-03"
"2341036","Ice cream, chocolate, with additional ingredients","2022-10-03"
"2341037","Ice cream, soft serve, vanilla","2022-10-03"
"2341038","Ice cream, soft serve, chocolate","2022-10-03"
"2341039","Gelato, vanilla","2022-10-03"
"2341040","Gelato, chocolate","2022-10-03"
"2341041","Ice cream bar, vanilla","2022-10-03"
"2341042","Ice cream bar, vanilla, chocolate coated","2022-10-03"
"2341043","Ice cream candy bar","2022-10-03"
"2341044","Ice cream bar, chocolate","2022-10-03"
"2341045","Ice cream sandwich, vanilla","2022-10-03"
"2341046","Ice cream sandwich, chocolate","2022-10-03"
"2341047","Ice cream cookie sandwich","2022-10-03"
"2341048","Ice cream cone, scooped, vanilla","2022-10-03"
"2341049","Ice cream cone, scooped, vanilla, waffle cone","2022-10-03"
"2341050","Ice cream cone, NFS","2022-10-03"
"2341051","Ice cream cone, scooped, chocolate","2022-10-03"
"2341052","Ice cream cone, scooped, chocolate, waffle cone","2022-10-03"
"2341053","Ice cream cone, soft serve, vanilla","2022-10-03"
"2341054","Ice cream cone, soft serve, chocolate","2022-10-03"
"2341055","Ice cream cone, soft serve, vanilla, waffle cone","2022-10-03"
"2341056","Ice cream cone, soft serve, chocolate, waffle cone","2022-10-03"
"2341057","Ice cream cone, vanilla, prepackaged","2022-10-03"
"2341058","Ice cream cone, chocolate, prepackaged","2022-10-03"
"2341059","Ice cream soda, flavors other than chocolate","2022-10-03"
"2341060","Ice cream soda, chocolate","2022-10-03"
"2341061","Ice cream sundae, NFS","2022-10-03"
"2341062","Ice cream sundae, fruit topping","2022-10-03"
"2341063","Banana split","2022-10-03"
"2341064","Ice cream sundae, hot fudge topping","2022-10-03"
"2341065","Ice cream sundae, caramel topping","2022-10-03"
"2341066","Ice cream, fried","2022-10-03"
"2341067","Light ice cream, NFS","2022-10-03"
"2341068","Light ice cream, vanilla","2022-10-03"
"2341069","Light ice cream, chocolate","2022-10-03"
"2341070","Soft serve, blended with candy or cookies, from fast food","2022-10-03"
"2341071","Light ice cream sandwich, vanilla","2022-10-03"
"2341072","Light ice cream sandwich, chocolate","2022-10-03"
"2341073","Light ice cream bar, vanilla","2022-10-03"
"2341074","Light ice cream bar, vanilla, chocolate coated","2022-10-03"
"2341075","Light ice cream bar, chocolate","2022-10-03"
"2341076","Creamsicle","2022-10-03"
"2341077","Fudgesicle","2022-10-03"
"2341078","Light ice cream cone, vanilla, prepackaged","2022-10-03"
"2341079","Light ice cream cone, chocolate, prepackaged","2022-10-03"
"2341080","Sherbet, all flavors","2022-10-03"
"2341081","Fudgesicle, light","2022-10-03"
"2341082","Pudding, chocolate, NFS","2022-10-03"
"2341083","Pudding, bread","2022-10-03"
"2341084","Pudding, flavors other than chocolate, NFS","2022-10-03"
"2341085","Custard","2022-10-03"
"2341086","Flan","2022-10-03"
"2341087","Creme brulee","2022-10-03"
"2341088","Pudding, rice","2022-10-03"
"2341089","Firni, Indian pudding","2022-10-03"
"2341090","Pudding, tapioca, made from dry mix","2022-10-03"
"2341091","Pudding, flavors other than chocolate, made from dry mix","2022-10-03"
"2341092","Pudding, chocolate, made from dry mix","2022-10-03"
"2341093","Pudding, flavors other than chocolate, made from dry mix, sugar free","2022-10-03"
"2341094","Pudding, chocolate, made from dry mix, sugar free","2022-10-03"
"2341095","Pudding, flavors other than chocolate, ready-to-eat","2022-10-03"
"2341096","Pudding, flavors other than chocolate, ready-to-eat, sugar free","2022-10-03"
"2341097","Pudding, chocolate, ready-to-eat","2022-10-03"
"2341098","Pudding, chocolate, ready-to-eat, sugar free","2022-10-03"
"2341099","Pudding, tapioca, ready-to-eat","2022-10-03"
"2341100","Banana pudding","2022-10-03"
"2341101","Mousse","2022-10-03"
"2341102","Dulce de leche","2022-10-03"
"2341103","Barfi or Burfi, Indian dessert","2022-10-03"
"2341104","Trifle","2022-10-03"
"2341105","Tiramisu","2022-10-03"
"2341106","White sauce or gravy","2022-10-03"
"2341107","Cheese, NFS","2022-10-03"
"2341108","Cheese, Blue or Roquefort","2022-10-03"
